Entry	Gene names  (primary )	Gene names  (synonym )
Q16280	CNGA2	CNCA CNCA1 CNCG2
P11021	HSPA5	GRP78
Q08AH3	ACSM2A	ACSM2 MACS2
A8MTZ7	C12orf71	
Q9UPM9	B9D1	MKSR1
Q8TCD1	C18orf32	
O94778	AQP8	
Q92934	BAD	BBC6 BCL2L8
Q9UQC9	CLCA2	CACC3
Q8N1P7	CRYBG2	AIM1L
Q562R1	ACTBL2	
Q86WK7	AMIGO3	ALI3 KIAA1851
Q8N8G6	C15orf54	
Q9UKV5	AMFR	RNF45
Q04917	YWHAH	YWHA1
A0PJZ0	ANKRD20A5P	ANKRD20A5
P01023	A2M	CPAMD5
